"Sample_Name","rail_id","external_id","sra_sample_acc_x","sra_experiment_acc","sra_experiment_title","sra_sample_attributes","sra_experiment_attributes","sra_sample_name","sra_sample_title","sra_sample_bases","sra_sample_spots","sra_run_published","sra_size","sra_run_total_bases","sra_run_total_spots","sra_num_spots","sra_read_info","sra_run_alias","recount_qc_aligned_readspercent_chrm","recount_qc_aligned_readspercent_chrx","recount_qc_aligned_readspercent_chry","recount_qc_bc_auc_all_reads_all_bases","recount_qc_bc_auc_all_reads_annotated_bases","recount_qc_bc_auc_unique_reads_all_bases","recount_qc_bc_auc_unique_reads_annotated_bases","recount_qc_bc_auc_all_percent","recount_qc_bc_auc_unique_percent","recount_qc_bc_frag_count","recount_qc_bc_frag_kallisto_count","recount_qc_bc_frag_kallisto_mean_length","recount_qc_bc_frag_mean_length","recount_qc_bc_frag_mode_length","recount_qc_bc_frag_mode_length_count","recount_qc_exon_fc_all_percent","recount_qc_exon_fc_unique_percent","recount_qc_exon_fc_count_all_total","recount_qc_exon_fc_count_all_assigned","recount_qc_exon_fc_count_unique_total","recount_qc_exon_fc_count_unique_assigned","recount_qc_gene_fc_all_percent","recount_qc_gene_fc_unique_percent","recount_qc_gene_fc_count_all_total","recount_qc_gene_fc_count_all_assigned","recount_qc_gene_fc_count_unique_total","recount_qc_gene_fc_count_unique_assigned","recount_qc_intron_sum","recount_qc_iintron_sum_percent","recount_qc_star_percent_of_chimeric_reads","recount_qc_star_percent_of_reads_mapped_to_multiple_loci","recount_qc_star_percent_of_reads_mapped_to_too_many_loci","recount_qc_star_percent_of_reads_unmapped_other","recount_qc_star_percent_of_reads_unmapped_too_short","recount_qc_star_all_mapped_reads","recount_qc_star_average_input_read_length","recount_qc_star_average_mapped_length","recount_qc_star_deletion_average_length","recount_qc_star_deletion_rate_per_base","recount_qc_star_insertion_average_length","recount_qc_star_mapping_speed_million_of_reads_per_hour","recount_qc_star_mismatch_rate_per_base_percent","recount_qc_star_number_of_chimeric_reads","recount_qc_star_number_of_input_reads","recount_qc_star_number_of_reads_mapped_to_multiple_loci","recount_qc_star_number_of_reads_mapped_to_too_many_loci","recount_qc_star_number_of_reads_unmapped_other","recount_qc_star_number_of_reads_unmapped_too_short","recount_qc_star_number_of_splices_at_ac","recount_qc_star_number_of_splices_gc_ag","recount_qc_star_number_of_splices_gt_ag","recount_qc_star_number_of_splices_non_canonical","recount_qc_star_number_of_splices_total","recount_qc_star_uniquely_mapped_reads_percent","recount_qc_star_uniquely_mapped_reads_number","recount_qc_junction_count","recount_qc_junction_coverage","recount_qc_junction_avg_coverage","recount_qc_star_number_of_input_reads_both","recount_qc_star_all_mapped_reads_both","recount_qc_star_number_of_chimeric_reads_both","recount_qc_star_number_of_reads_mapped_to_multiple_loci_both","recount_qc_star_number_of_reads_mapped_to_too_many_loci_both","recount_qc_star_number_of_reads_unmapped_other_both","recount_qc_star_number_of_reads_unmapped_too_short_both","recount_qc_star_uniquely_mapped_reads_number_both","recount_qc_star_percent_mapped_reads_both","recount_qc_star_percent_chimeric_reads_both","recount_qc_star_percent_reads_mapped_to_multiple_loci_both","recount_qc_star_percent_reads_mapped_to_too_many_loci_both","recount_qc_star_percent_reads_unmapped_other_both","recount_qc_star_percent_reads_unmapped_too_short_both","recount_qc_star_uniquely_mapped_reads_percent_both","recount_seq_qc_avg_len","recount_seq_qc_bases","recount_seq_qc_percenta","recount_seq_qc_percentc","recount_seq_qc_percentg","recount_seq_qc_percentt","recount_seq_qc_percentn","recount_seq_qc_avgq","recount_seq_qc_errq","recount_pred_sample_acc_y","recount_pred_pred_type","BigWigURL","age","cell.type","cx3cr1.genotype","Sex","source_name","treatment","group"
"SRR9139084",3674270,"SRR9139084","SRS4831190","SRX5912303","GSM3823719_ 1yr_WT_7F_ Mus musculus_ RNA_Seq","age__1 year_cell type__Microglia_cx3cr1 genotype__WT_Sex__female_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823719","GSM3823719","1yr_WT_7F",1613320986,16657329,"2019_11_28 20_26_09",608759316,1613320986,16657329,16657329,"index_0_count_16657329_average_48_43_stdev_3_31_index_1_count_16657329_average_48_43_stdev_3_31","GSM3823719_r1",0.63,2.78,0.1,1321986377,1322269977,1267461402,1275313526,100.02,100.62,16037683,14242813,144.467,888.121,38,128909,83.44,87.29,17402291,13381649,17402291,13381649,82.78,83.56,17402291,13275689,17402291,12808760,160613936,12.15,1.24,4.25,0.47,0.31,2.93,16037683,96,95.95,1.26,0,1.1,397.13,0.12,206113,16657329,708074,78400,52372,488874,1249,11794,2409521,6699,2429263,92.03,15329609,114007,2252157,19.754550159201,16657329,16037683,206113,708074,78400,52372,488874,15329609,96.3,1.2,4.3,0.5,0.3,2.9,92,48.43,806649527,25.5,23.9,24.8,25.6,0.1,35.6,27.1,"SRS4831190","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_84_sra_base_sums_SRP199678_SRR9139084_ALL_bw","1 year","Microglia","WT","female","Microglia","None/naïve","grp1"
"SRR9139086",3674335,"SRR9139086","SRS4831192","SRX5912305","GSM3823721_ 1yr_WT_9M_ Mus musculus_ RNA_Seq","age__1 year_cell type__Microglia_cx3cr1 genotype__WT_Sex__male_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823721","GSM3823721","1yr_WT_9M",1806296874,18634879,"2019_11_28 20_26_09",674630140,1806296874,18634879,18634879,"index_0_count_18634879_average_48_46_stdev_3_26_index_1_count_18634879_average_48_47_stdev_3_26","GSM3823721_r1",0.64,2.78,0.1,1478680343,1480940054,1414759111,1425331807,100.15,100.75,17883298,15846684,146.025,888.388,38,140881,85.12,89.24,19463053,15221742,19463053,15221742,84.63,85.48,19463053,15135377,19463053,14580466,152724996,10.33,1.25,4.43,0.45,0.3,3.29,17883298,96,95.98,1.29,0.01,1.11,593.68,0.12,233241,18634879,826053,84001,55075,612505,1424,12162,2653999,7375,2674960,91.53,17057245,114143,2488689,21.803255565387,18634879,17883298,233241,826053,84001,55075,612505,17057245,96,1.3,4.4,0.5,0.3,3.3,91.5,48.46,903121146,25.4,23.9,24.7,25.8,0.1,35.8,27.9,"SRS4831192","scrna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_86_sra_base_sums_SRP199678_SRR9139086_ALL_bw","1 year","Microglia","WT","male","Microglia","None/naïve","grp25"
"SRR9139093",3674751,"SRR9139093","SRS4831199","SRX5912312","GSM3823728_ 1yr_Het_6F_ Mus musculus_ RNA_Seq","age__1 year_cell type__Microglia_cx3cr1 genotype__Het_Sex__female_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823728","GSM3823728","1yr_Het_6F",1351353573,13932054,"2019_11_28 20_26_10",501270384,1351353573,13932054,13932054,"index_0_count_13932054_average_48_50_stdev_3_22_index_1_count_13932054_average_48_50_stdev_3_21","GSM3823728_r1",0.59,2.68,0.1,1111469372,1108485128,1069263909,1072219575,99.73,100.28,13372709,11908498,147.25,898.669,38,102532,80.08,83.47,14408893,10708235,14408893,10708235,79.29,79.9,14408893,10603370,14408893,10250792,175114833,15.76,1.21,3.9,0.45,0.36,3.2,13372709,96,96.1,1.27,0.01,1.11,539.31,0.12,168256,13932054,543213,62359,50564,446422,975,8880,1883433,5418,1898706,92.09,12829496,109531,1767485,16.136847102647,13932054,13372709,168256,543213,62359,50564,446422,12829496,96,1.2,3.9,0.4,0.4,3.2,92.1,48.5,675654749,25.5,23.8,24.7,25.9,0.1,35.9,28.4,"SRS4831199","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_93_sra_base_sums_SRP199678_SRR9139093_ALL_bw","1 year","Microglia","Het","female","Microglia","None/naïve","grp4"
"SRR9139095",3674815,"SRR9139095","SRS4831201","SRX5912314","GSM3823730_ 1yr_Het_8F_ Mus musculus_ RNA_Seq","age__1 year_cell type__Microglia_cx3cr1 genotype__Het_Sex__female_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823730","GSM3823730","1yr_Het_8F",1592367803,16421962,"2019_11_28 20_26_10",595887419,1592367803,16421962,16421962,"index_0_count_16421962_average_48_48_stdev_3_24_index_1_count_16421962_average_48_48_stdev_3_24","GSM3823730_r1",0.79,2.65,0.1,1296265439,1294457195,1241624184,1247382801,99.86,100.46,15648601,14018243,146.121,850.208,38,122058,80.7,84.51,16983267,12628645,16983267,12628645,80.07,80.79,16983267,12530556,16983267,12073692,189544348,14.62,1.37,4.29,0.46,0.39,3.86,15648601,96,95.99,1.31,0.01,1.11,656.88,0.13,225049,16421962,704506,75505,64726,633130,1117,9433,2100288,6787,2117625,91,14944095,107146,1973558,18.419334366192,16421962,15648601,225049,704506,75505,64726,633130,14944095,95.3,1.4,4.3,0.5,0.4,3.9,91,48.48,796159983,25.5,23.8,24.6,26.1,0.1,35.8,27.9,"SRS4831201","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_95_sra_base_sums_SRP199678_SRR9139095_ALL_bw","1 year","Microglia","Het","female","Microglia","None/naïve","grp4"
"SRR9139096",3674847,"SRR9139096","SRS4831202","SRX5912315","GSM3823731_ 1yr_Het_9F_ Mus musculus_ RNA_Seq","age__1 year_cell type__Microglia_cx3cr1 genotype__Het_Sex__female_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823731","GSM3823731","1yr_Het_9F",1796000945,18563912,"2019_11_28 20_26_10",665574224,1796000945,18563912,18563912,"index_0_count_18563912_average_48_37_stdev_3_38_index_1_count_18563912_average_48_38_stdev_3_37","GSM3823731_r1",0.61,2.8,0.14,1455067903,1452086653,1393424609,1399102119,99.8,100.41,17793510,15940278,140.571,840.215,39,150154,79.86,83.66,19345939,14209165,19345939,14209165,79.03,79.73,19345939,14062650,19345939,13542010,223361381,15.35,1.32,4.36,0.48,0.42,3.25,17793510,96,95.84,1.29,0.01,1.11,530.4,0.12,245591,18563912,809431,89496,77459,603447,1298,12392,2586536,7241,2607467,91.49,16984079,115977,2406082,20.746199677522,18563912,17793510,245591,809431,89496,77459,603447,16984079,95.9,1.3,4.4,0.5,0.4,3.3,91.5,48.37,897961057,25.3,24,24.9,25.7,0.1,35.9,28.2,"SRS4831202","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_96_sra_base_sums_SRP199678_SRR9139096_ALL_bw","1 year","Microglia","Het","female","Microglia","None/naïve","grp4"
"SRR9139100",3678237,"SRR9139100","SRS4831206","SRX5912319","GSM3823735_ 1yr_KO_1F_ Mus musculus_ RNA_Seq","age__1 year_cell type__Microglia_cx3cr1 genotype__KO_Sex__female_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823735","GSM3823735","1yr_KO_1F",1685910362,17424405,"2019_11_28 20_26_10",636991322,1685910362,17424405,17424405,"index_0_count_17424405_average_48_38_stdev_3_38_index_1_count_17424405_average_48_38_stdev_3_37","GSM3823735_r1",0.65,2.86,0.09,1366228636,1365965470,1310200472,1317317128,99.98,100.54,16694751,14921372,140.963,851.774,38,140259,82.43,86.22,18089496,13761431,18089496,13761431,81.62,82.31,18089496,13626092,18089496,13136771,177558153,13,1.28,4.22,0.46,0.37,3.36,16694751,96,95.83,1.23,0.01,1.09,667.32,0.12,222784,17424405,734688,79594,64542,585518,1281,11719,2461136,8677,2482813,91.6,15960063,114630,2293373,20.006743435401,17424405,16694751,222784,734688,79594,64542,585518,15960063,95.8,1.3,4.2,0.5,0.4,3.4,91.6,48.38,842934641,25.5,23.9,24.8,25.7,0.1,35.6,27,"SRS4831206","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_00_sra_base_sums_SRP199678_SRR9139100_ALL_bw","1 year","Microglia","KO","female","Microglia","None/naïve","grp5"
"SRR9139101",3678268,"SRR9139101","SRS4831207","SRX5912320","GSM3823736_ 1yr_KO_2F_ Mus musculus_ RNA_Seq","age__1 year_cell type__Microglia_cx3cr1 genotype__KO_Sex__female_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823736","GSM3823736","1yr_KO_2F",1635256328,16872280,"2019_11_28 20_26_10",606570622,1635256328,16872280,16872280,"index_0_count_16872280_average_48_46_stdev_3_27_index_1_count_16872280_average_48_46_stdev_3_26","GSM3823736_r1",0.54,2.9,0.14,1341454037,1339385273,1288648775,1293823653,99.85,100.4,16197752,14354290,146.551,917.134,39,126444,80.86,84.42,17499215,13097143,17499215,13097143,79.94,80.6,17499215,12949253,17499215,12503469,198347405,14.79,1.24,4.05,0.44,0.36,3.2,16197752,96,96.03,1.25,0,1.11,542.32,0.12,209425,16872280,683949,74040,60800,539688,1163,11372,2419276,6294,2438105,91.95,15513803,115454,2266429,19.630580144473,16872280,16197752,209425,683949,74040,60800,539688,15513803,96,1.2,4.1,0.4,0.4,3.2,91.9,48.46,817603114,25.4,24,24.8,25.7,0.1,35.9,28.3,"SRS4831207","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_01_sra_base_sums_SRP199678_SRR9139101_ALL_bw","1 year","Microglia","KO","female","Microglia","None/naïve","grp5"
"SRR9139102",3678300,"SRR9139102","SRS4831208","SRX5912321","GSM3823737_ 1yr_KO_6M_ Mus musculus_ RNA_Seq","age__1 year_cell type__Microglia_cx3cr1 genotype__KO_Sex__male_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823737","GSM3823737","1yr_KO_6M",1724201961,17808713,"2019_11_28 20_26_10",643854220,1724201961,17808713,17808713,"index_0_count_17808713_average_48_41_stdev_3_34_index_1_count_17808713_average_48_41_stdev_3_33","GSM3823737_r1",0.75,2.71,0.12,1401426879,1402147119,1341714801,1350419980,100.05,100.65,17043284,15124190,143.665,892.75,39,138295,82.69,86.65,18515145,14093058,18515145,14093058,81.94,82.69,18515145,13964438,18515145,13448105,176141597,12.57,1.31,4.38,0.48,0.34,3.47,17043284,96,95.89,1.28,0,1.1,728.54,0.12,232702,17808713,779168,85602,61296,618531,1302,12119,2607875,6771,2628067,91.33,16264116,114560,2434120,21.247555865922,17808713,17043284,232702,779168,85602,61296,618531,16264116,95.7,1.3,4.4,0.5,0.3,3.5,91.3,48.41,862067733,25.2,24.1,24.9,25.7,0.1,35.8,27.7,"SRS4831208","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_02_sra_base_sums_SRP199678_SRR9139102_ALL_bw","1 year","Microglia","KO","male","Microglia","None/naïve","grp6"
"SRR9139103",3678330,"SRR9139103","SRS4831209","SRX5912322","GSM3823738_ 1yr_KO_7M_ Mus musculus_ RNA_Seq","age__1 year_cell type__Microglia_cx3cr1 genotype__KO_Sex__male_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823738","GSM3823738","1yr_KO_7M",1746542557,18033050,"2019_11_28 20_26_10",653437498,1746542557,18033050,18033050,"index_0_count_18033050_average_48_42_stdev_3_32_index_1_count_18033050_average_48_43_stdev_3_31","GSM3823738_r1",0.76,2.78,0.1,1423800442,1426144991,1362560570,1372922225,100.16,100.76,17266353,15254913,145.833,920.737,39,137579,83.52,87.55,18754763,14420275,18754763,14420275,82.77,83.51,18754763,14290690,18754763,13754857,167751198,11.78,1.3,4.42,0.47,0.33,3.45,17266353,96,95.92,1.27,0,1.1,669.27,0.12,235272,18033050,796261,84191,60310,622196,1339,12198,2667778,6683,2687998,91.33,16470092,115415,2493572,21.605267946108,18033050,17266353,235272,796261,84191,60310,622196,16470092,95.7,1.3,4.4,0.5,0.3,3.5,91.3,48.42,873239376,25.2,24.1,24.9,25.7,0.1,35.8,27.8,"SRS4831209","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_03_sra_base_sums_SRP199678_SRR9139103_ALL_bw","1 year","Microglia","KO","male","Microglia","None/naïve","grp6"
"SRR9139104",3678365,"SRR9139104","SRS4831210","SRX5912323","GSM3823739_ 1yr_KO_8F_ Mus musculus_ RNA_Seq","age__1 year_cell type__Microglia_cx3cr1 genotype__KO_Sex__female_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823739","GSM3823739","1yr_KO_8F",1532834168,15802629,"2019_11_28 20_26_10",569966968,1532834168,15802629,15802629,"index_0_count_15802629_average_48_50_stdev_3_21_index_1_count_15802629_average_48_50_stdev_3_20","GSM3823739_r1",0.56,2.74,0.1,1261589711,1258256721,1213265441,1216834131,99.74,100.29,15170840,13484489,147.663,903.081,38,114345,79.08,82.46,16365544,11997339,16365544,11997339,78.09,78.68,16365544,11846433,16365544,11447128,210024098,16.65,1.2,3.93,0.46,0.42,3.12,15170840,96,96.13,1.24,0,1.1,653.9,0.12,190001,15802629,621638,72393,65792,493604,1056,10181,2186343,5890,2203470,92.07,14549202,113270,2053464,18.128930873135,15802629,15170840,190001,621638,72393,65792,493604,14549202,96,1.2,3.9,0.5,0.4,3.1,92.1,48.5,766386295,25.4,23.9,24.7,25.8,0.1,35.9,28.4,"SRS4831210","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_04_sra_base_sums_SRP199678_SRR9139104_ALL_bw","1 year","Microglia","KO","female","Microglia","None/naïve","grp5"
"SRR9139105",3678397,"SRR9139105","SRS4831211","SRX5912324","GSM3823740_ 1yr_KO_9F_ Mus musculus_ RNA_Seq","age__1 year_cell type__Microglia_cx3cr1 genotype__KO_Sex__female_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823740","GSM3823740","1yr_KO_9F",1979103932,20380665,"2019_11_28 20_26_10",736930126,1979103932,20380665,20380665,"index_0_count_20380665_average_48_55_stdev_3_13_index_1_count_20380665_average_48_55_stdev_3_13","GSM3823740_r1",0.58,2.78,0.18,1636411360,1633429495,1573470289,1579252908,99.82,100.37,19552100,17309683,150.307,923.528,39,139633,80.65,84.1,21082528,15769291,21082528,15769291,79.75,80.38,21082528,15593595,21082528,15071161,248086048,15.16,1.18,3.93,0.46,0.36,3.24,19552100,97,96.21,1.25,0.01,1.1,815.23,0.12,239798,20380665,801971,93007,74351,661207,1427,13373,2821374,7579,2843753,92,18750129,119912,2661217,22.193083261058,20380665,19552100,239798,801971,93007,74351,661207,18750129,95.9,1.2,3.9,0.5,0.4,3.2,92,48.55,989521588,25.5,23.8,24.7,25.9,0.1,35.8,28.3,"SRS4831211","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_05_sra_base_sums_SRP199678_SRR9139105_ALL_bw","1 year","Microglia","KO","female","Microglia","None/naïve","grp5"
"SRR9139106",3678428,"SRR9139106","SRS4831212","SRX5912325","GSM3823741_ 1yr_KO_3F_ Mus musculus_ RNA_Seq","age__1 year_cell type__Microglia_cx3cr1 genotype__KO_Sex__female_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823741","GSM3823741","1yr_KO_3F",1806628751,18603109,"2019_11_28 20_26_10",679773922,1806628751,18603109,18603109,"index_0_count_18603109_average_48_56_stdev_3_13_index_1_count_18603109_average_48_56_stdev_3_12","GSM3823741_r1",0.53,2.81,0.08,1498358666,1498326593,1439947505,1447807137,100,100.55,17883943,15759307,150.965,949.626,38,126790,81,84.52,19302798,14485588,19302798,14485588,80.13,80.75,19302798,14329908,19302798,13840417,222713813,14.86,1.21,4,0.45,0.35,3.07,17883943,97,96.21,1.24,0,1.1,452.51,0.12,225822,18603109,744353,83871,64790,570505,1451,12653,2663695,7001,2684800,92.13,17139590,117226,2513904,21.444935423882,18603109,17883943,225822,744353,83871,64790,570505,17139590,96.1,1.2,4,0.5,0.3,3.1,92.1,48.56,903297451,25.5,23.8,24.8,25.8,0.1,35.8,28.1,"SRS4831212","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_06_sra_base_sums_SRP199678_SRR9139106_ALL_bw","1 year","Microglia","KO","female","Microglia","None/naïve","grp5"
"SRR9139107",3678463,"SRR9139107","SRS4831213","SRX5912326","GSM3823742_ 1yr_KO_11F_ Mus musculus_ RNA_Seq","age__1 year_cell type__Microglia_cx3cr1 genotype__KO_Sex__female_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823742","GSM3823742","1yr_KO_11F",1750724998,18046260,"2019_11_28 20_26_10",659232507,1750724998,18046260,18046260,"index_0_count_18046260_average_48_50_stdev_3_20_index_1_count_18046260_average_48_51_stdev_3_20","GSM3823742_r1",0.82,2.75,0.14,1431292342,1426045670,1369250069,1372541371,99.63,100.24,17221863,15417955,147.177,853.449,38,130161,78.04,81.83,18738433,13439911,18738433,13439911,77.36,77.98,18738433,13322285,18738433,12807798,242420320,16.94,1.39,4.42,0.46,0.45,3.65,17221863,97,96.04,1.27,0.01,1.11,662.92,0.12,251282,18046260,796974,83740,81469,659188,1145,10264,2326809,6534,2344752,91.02,16424889,111640,2193813,19.650779290577,18046260,17221863,251282,796974,83740,81469,659188,16424889,95.4,1.4,4.4,0.5,0.5,3.7,91,48.5,875333046,25.5,23.8,24.6,25.9,0.1,35.6,27.2,"SRS4831213","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_07_sra_base_sums_SRP199678_SRR9139107_ALL_bw","1 year","Microglia","KO","female","Microglia","None/naïve","grp5"
"SRR9139108",3678494,"SRR9139108","SRS4831215","SRX5912327","GSM3823743_ 1yr_KO_13M_ Mus musculus_ RNA_Seq","age__1 year_cell type__Microglia_cx3cr1 genotype__KO_Sex__male_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823743","GSM3823743","1yr_KO_13M",1735170016,17885226,"2019_11_28 20_26_11",656967537,1735170016,17885226,17885226,"index_0_count_17885226_average_48_51_stdev_3_20_index_1_count_17885226_average_48_51_stdev_3_19","GSM3823743_r1",0.6,2.8,0.12,1433236020,1435645926,1371237053,1381941293,100.17,100.78,17198592,15126458,149.821,939.049,38,127423,83.31,87.33,18739446,14328426,18739446,14328426,82.74,83.49,18739446,14229891,18739446,13698408,175225397,12.23,1.24,4.43,0.51,0.31,3.02,17198592,97,96.1,1.21,0,1.08,523.47,0.12,221422,17885226,792106,90929,55537,540168,1461,12578,2648966,7329,2670334,91.73,16406486,117023,2490112,21.278825530024,17885226,17198592,221422,792106,90929,55537,540168,16406486,96.2,1.2,4.4,0.5,0.3,3,91.7,48.51,867570592,25.5,23.9,24.9,25.6,0.1,35.6,27.2,"SRS4831215","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_08_sra_base_sums_SRP199678_SRR9139108_ALL_bw","1 year","Microglia","KO","male","Microglia","None/naïve","grp6"
"SRR9139111",3678783,"SRR9139111","SRS4831217","SRX5912330","GSM3823746_ 1yr_KO_16M_ Mus musculus_ RNA_Seq","age__1 year_cell type__Microglia_cx3cr1 genotype__KO_Sex__male_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823746","GSM3823746","1yr_KO_16M",1638904775,16889153,"2019_11_28 20_26_11",614835801,1638904775,16889153,16889153,"index_0_count_16889153_average_48_52_stdev_3_19_index_1_count_16889153_average_48_52_stdev_3_18","GSM3823746_r1",0.54,2.99,0.12,1351123159,1351062059,1291294044,1299496463,100,100.64,16201157,14252110,150.104,949.323,39,119260,81.85,85.91,17696746,13259919,17696746,13259919,81.21,82,17696746,13157483,17696746,12656538,182330730,13.49,1.26,4.53,0.5,0.34,3.23,16201157,97,96.13,1.26,0,1.1,573.59,0.12,213196,16889153,765844,85234,56909,545853,1361,11130,2457381,6278,2476150,91.39,15435313,114107,2316789,20.303653588299,16889153,16201157,213196,765844,85234,56909,545853,15435313,95.9,1.3,4.5,0.5,0.3,3.2,91.4,48.52,819418121,25.4,23.9,24.7,25.8,0.1,35.8,28,"SRS4831217","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_11_sra_base_sums_SRP199678_SRR9139111_ALL_bw","1 year","Microglia","KO","male","Microglia","None/naïve","grp6"
"SRR9139112",3678815,"SRR9139112","SRS4831218","SRX5912331","GSM3823747_ 2yr_WT_1F_ Mus musculus_ RNA_Seq","age__2 years_cell type__Microglia_cx3cr1 genotype__WT_Sex__female_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823747","GSM3823747","2yr_WT_1F",1650205558,17020684,"2019_11_28 20_26_11",611188242,1650205558,17020684,17020684,"index_0_count_17020684_average_48_47_stdev_3_24_index_1_count_17020684_average_48_48_stdev_3_23","GSM3823747_r1",0.49,2.75,0.08,1363221511,1361978348,1308305527,1314154255,99.91,100.45,16420861,14511719,148.452,918.742,39,124497,81.38,85.03,17797130,13362480,17797130,13362480,80.6,81.23,17797130,13234761,17797130,12764428,195075334,14.31,1.25,4.15,0.49,0.31,2.72,16420861,96,96.07,1.21,0,1.09,625.25,0.12,212988,17020684,706202,84090,52516,463217,1239,12113,2488191,9375,2510918,92.33,15714659,116949,2334997,19.965942419345,17020684,16420861,212988,706202,84090,52516,463217,15714659,96.5,1.3,4.1,0.5,0.3,2.7,92.3,48.47,825067323,25.2,24.1,25,25.6,0.1,35.9,28.4,"SRS4831218","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_12_sra_base_sums_SRP199678_SRR9139112_ALL_bw","2 years","Microglia","WT","female","Microglia","None/naïve","grp3"
"SRR9139113",3678846,"SRR9139113","SRS4831219","SRX5912332","GSM3823748_ 2yr_WT_2F_ Mus musculus_ RNA_Seq","age__2 years_cell type__Microglia_cx3cr1 genotype__WT_Sex__female_source_name__Microglia_treatment__None_naïve","GEO Accession__GSM3823748","GSM3823748","2yr_WT_2F",2028698211,20941407,"2019_11_28 20_26_11",752520512,2028698211,20941407,20941407,"index_0_count_20941407_average_48_44_stdev_3_29_index_1_count_20941407_average_48_44_stdev_3_29","GSM3823748_r1",0.56,2.52,0.29,1663563199,1662133154,1591130698,1600347446,99.91,100.58,20149751,17976994,144.65,853.169,38,159486,79.39,83.24,22127242,15996960,22127242,15996960,78.82,79.59,22127242,15881142,22127242,15296382,274787989,16.52,1.16,4.45,0.67,0.34,2.78,20149751,96,96.04,1.2,0,1.09,691.64,0.12,243810,20941407,930990,139664,70337,581655,1572,15233,2944742,7871,2969418,91.77,19218761,127862,2747484,21.487885376421,20941407,20149751,243810,930990,139664,70337,581655,19218761,96.2,1.2,4.4,0.7,0.3,2.8,91.8,48.44,1014318499,25.3,24,24.9,25.6,0.1,35.9,28.1,"SRS4831219","rna_seq","http___duffel_rail_bio_recount3_mouse_data_sources_sra_base_sums_78_SRP199678_13_sra_base_sums_SRP199678_SRR9139113_ALL_bw","2 years","Microglia","WT","female","Microglia","None/naïve","grp3"
